Name,Slug,Collection ID,Item ID,Created On,Updated On,Published On,Type of Membership,Level of Membership,Community Logo,Digital Campaign Report (Operator Access Platinum Only),Digital Campaign Report URL (Operator Access Platinum Only)
Benton House of Staley Hills,benton-house-of-staley-hills,64107c2302e99de2b6724a6c,64107c2302e99d9d2772579f,Tue Sep 06 2022 16:21:04 GMT+0000 (Coordinated Universal Time),Tue Sep 06 2022 16:21:04 GMT+0000 (Coordinated Universal Time),Thu Jan 19 2023 19:16:46 GMT+0000 (Coordinated Universal Time),Community Access,Gold,https://uploads-ssl.webflow.com/64107c2302e99d5fb5724a6b/64107c2302e99d1674724e11_Benton%20House.jpg,,
Benton House of Tiffany Springs ,benton-house-of-tiffany-springs,64107c2302e99de2b6724a6c,64107c2302e99d5646725709,Mon Aug 22 2022 15:50:15 GMT+0000 (Coordinated Universal Time),Tue Aug 23 2022 15:14:46 GMT+0000 (Coordinated Universal Time),Thu Jan 19 2023 19:16:46 GMT+0000 (Coordinated Universal Time),Community Access,Gold,https://uploads-ssl.webflow.com/61d2e3c9499f212051abd992/6304eeb02d7add401b08c3f2_Benton%20House.jpg,,
Bluegrass Way Senior Living,bluegrass-way-senior-living,64107c2302e99de2b6724a6c,64107c2302e99d45527257b1,Thu Sep 15 2022 14:43:18 GMT+0000 (Coordinated Universal Time),Thu Sep 15 2022 14:43:18 GMT+0000 (Coordinated Universal Time),Thu Jan 19 2023 19:16:46 GMT+0000 (Coordinated Universal Time),Community Access,Gold,https://uploads-ssl.webflow.com/64107c2302e99d5fb5724a6b/64107c2302e99dd58b7254ad_Bluegrass-Way-Logo.png,,
Bradford Place,bradford-place,64107c2302e99de2b6724a6c,64107c2302e99d88b6725ae0,Tue Oct 11 2022 14:35:56 GMT+0000 (Coordinated Universal Time),Tue Oct 11 2022 14:35:56 GMT+0000 (Coordinated Universal Time),Thu Jan 19 2023 19:16:46 GMT+0000 (Coordinated Universal Time),Community Access,Gold,https://uploads-ssl.webflow.com/64107c2302e99d5fb5724a6b/64107c2302e99d11b2725bc6_Bradford-Place-logo.png,,
Brickmont of Acworth,brickmont-of-acworth,64107c2302e99de2b6724a6c,64107c2302e99d07a6725aba,Thu Oct 06 2022 13:34:07 GMT+0000 (Coordinated Universal Time),Thu Oct 06 2022 13:34:07 GMT+0000 (Coordinated Universal Time),Thu Jan 19 2023 19:16:46 GMT+0000 (Coordinated Universal Time),Community Access,Gold,https://uploads-ssl.webflow.com/64107c2302e99d5fb5724a6b/64107c2302e99d0337725827_Brickmont-logo.png,,
Brickmont of John's Creek,brickmont-of-johns-creek,64107c2302e99de2b6724a6c,64107c2302e99d2d7a725abb,Thu Oct 06 2022 13:35:12 GMT+0000 (Coordinated Universal Time),Thu Oct 06 2022 13:35:12 GMT+0000 (Coordinated Universal Time),Thu Jan 19 2023 19:16:46 GMT+0000 (Coordinated Universal Time),Community Access,Gold,https://uploads-ssl.webflow.com/64107c2302e99d5fb5724a6b/64107c2302e99d0337725827_Brickmont-logo.png,,
Brickmont of Roswell,brickmont-of-roswell,64107c2302e99de2b6724a6c,64107c2302e99d9c6f725ab9,Thu Oct 06 2022 13:35:44 GMT+0000 (Coordinated Universal Time),Thu Oct 06 2022 13:35:44 GMT+0000 (Coordinated Universal Time),Thu Jan 19 2023 19:16:46 GMT+0000 (Coordinated Universal Time),Community Access,Gold,https://uploads-ssl.webflow.com/64107c2302e99d5fb5724a6b/64107c2302e99d0337725827_Brickmont-logo.png,,
Brickmont of West Cobb,brickmont-of-west-cobb,64107c2302e99de2b6724a6c,64107c2302e99da984725abc,Thu Oct 06 2022 13:36:22 GMT+0000 (Coordinated Universal Time),Thu Oct 06 2022 13:36:22 GMT+0000 (Coordinated Universal Time),Thu Jan 19 2023 19:16:46 GMT+0000 (Coordinated Universal Time),Community Access,Gold,https://uploads-ssl.webflow.com/64107c2302e99d5fb5724a6b/64107c2302e99d0337725827_Brickmont-logo.png,,
Brickmont of Woodstock,brickmont-of-woodstock,64107c2302e99de2b6724a6c,64107c2302e99dd7b6725ab8,Thu Oct 06 2022 13:37:25 GMT+0000 (Coordinated Universal Time),Thu Oct 06 2022 13:37:25 GMT+0000 (Coordinated Universal Time),Thu Jan 19 2023 19:16:46 GMT+0000 (Coordinated Universal Time),Community Access,Gold,https://uploads-ssl.webflow.com/64107c2302e99d5fb5724a6b/64107c2302e99d0337725827_Brickmont-logo.png,,
Brookstone Estates of Effingham,brookstone-estates-of-effingham,64107c2302e99de2b6724a6c,64107c2302e99d2244725acb,Mon Oct 10 2022 13:49:31 GMT+0000 (Coordinated Universal Time),Mon Oct 10 2022 13:49:31 GMT+0000 (Coordinated Universal Time),Thu Jan 19 2023 19:16:46 GMT+0000 (Coordinated Universal Time),Community Access,Gold,https://uploads-ssl.webflow.com/64107c2302e99d5fb5724a6b/64107c2302e99d146f7258b2_Brookstone%20Estates.png,,
